Conta,Categoria,Janela,Total,Delivered,Failed,Undelivered,Unknown,Taxa_Entrega_%,Extraido_Em
Bernardo,Broadcast,15min,26602,23365,693,607,1937,87.83,2026-03-29 23:03 UTC
Joao,Broadcast,15min,4958,4323,268,187,180,87.19,2026-03-29 23:03 UTC
NS,Recuperação,15min,72,67,0,2,3,93.06,2026-03-29 23:03 UTC
Richard,Standby,15min,39,21,0,1,17,53.85,2026-03-29 23:03 UTC
Havenmove,Standby,15min,27,0,0,0,27,0.0,2026-03-29 23:03 UTC
Rafa,Broadcast,15min,0,0,0,0,0,0.0,2026-03-29 23:03 UTC
Rehableaf,Standby,15min,0,0,0,0,0,0.0,2026-03-29 23:03 UTC
Naturemove,Standby,15min,0,0,0,0,0,0.0,2026-03-29 23:03 UTC
NS,Recuperação,15min,69,63,0,1,5,91.3,2026-03-29 23:21 UTC
Joao,Broadcast,15min,17761,15465,1065,685,546,87.07,2026-03-29 23:21 UTC
Bernardo,Broadcast,15min,8179,6500,568,332,779,79.47,2026-03-29 23:21 UTC
Havenmove,Standby,15min,19,0,0,0,19,0.0,2026-03-29 23:21 UTC
Richard,Standby,15min,62,43,0,1,18,69.35,2026-03-29 23:21 UTC
NS,Recuperação,15min,72,65,0,1,6,90.28,2026-03-29 23:34 UTC
Joao,Broadcast,15min,19147,15930,2084,545,588,83.2,2026-03-29 23:34 UTC
Bernardo,Broadcast,15min,8481,6851,634,204,792,80.78,2026-03-29 23:34 UTC
Havenmove,Standby,15min,16,0,0,0,16,0.0,2026-03-29 23:34 UTC
Richard,Standby,15min,53,41,0,0,12,77.36,2026-03-29 23:34 UTC
NS,Recuperação,4h,1164,1074,4,23,63,92.27,2026-03-29 23:40 UTC
Joao,Broadcast,4h,174233,148046,15197,6041,4949,84.97,2026-03-29 23:40 UTC
Bernardo,Broadcast,4h,282821,247983,11564,7173,16101,87.68,2026-03-29 23:40 UTC
Rafa,Broadcast,4h,4,0,0,0,4,0.0,2026-03-29 23:40 UTC
Havenmove,Standby,4h,536,0,0,0,536,0.0,2026-03-29 23:40 UTC
Richard,Standby,4h,3076,2439,4,66,567,79.29,2026-03-29 23:40 UTC
Naturemove,Standby,4h,6,0,0,0,6,0.0,2026-03-29 23:40 UTC
NS,Recuperação,4h,1110,1027,4,22,57,92.52,2026-03-30 00:07 UTC
Joao,Broadcast,4h,157719,133277,14783,5124,4535,84.5,2026-03-30 00:07 UTC
Bernardo,Broadcast,4h,276053,241712,11400,6833,16108,87.56,2026-03-30 00:07 UTC
Rafa,Broadcast,4h,3,0,0,0,3,0.0,2026-03-30 00:07 UTC
Havenmove,Standby,4h,467,0,0,0,467,0.0,2026-03-30 00:07 UTC
Richard,Standby,4h,1056,628,4,10,414,59.47,2026-03-30 00:07 UTC
Naturemove,Standby,4h,6,0,0,0,6,0.0,2026-03-30 00:07 UTC
NS,Recuperação,4h,994,913,4,21,56,91.85,2026-03-30 00:31 UTC
Joao,Broadcast,4h,123243,104435,11077,4032,3699,84.74,2026-03-30 00:31 UTC
Bernardo,Broadcast,4h,261571,229245,10036,6433,15857,87.64,2026-03-30 00:31 UTC
Rafa,Broadcast,4h,4,0,0,0,4,0.0,2026-03-30 00:31 UTC
Havenmove,Standby,4h,399,0,0,0,399,0.0,2026-03-30 00:31 UTC
Richard,Standby,4h,1079,696,8,11,364,64.5,2026-03-30 00:31 UTC
Naturemove,Standby,4h,5,0,0,0,5,0.0,2026-03-30 00:31 UTC
