Conta,Categoria,Janela,Modo,Direcao,List_Mode,Mensagens,Segmentos,Delivered,Failed,Undelivered,Sent,Sending,Delivery_Unknown,Accepted,Queued,Taxa_Entrega_%,Insight_Delivered_Msgs,Insight_Failed_Msgs,Insight_Delivery_Unknown_Msgs,Insight_Undelivered_Msgs,Insight_Sent_Msgs,Insight_Total_Msgs,Api_Pages,Api_Pages_Capped,Agregado_Ate_Utc,Github_Run_Id,Extraido_Em
Bernardo,Broadcast,since_yesterday_utc_2026-04-16,incremental,outbound,sent,151942,168567,145627,12243,6211,4486,0,0,0,0,86.39,130256,12243,0,5520,3923,151942,156,0,2026-04-17T10:44:47Z,24561127748,2026-04-17 10:44 UTC
Havenmove,Standby,since_yesterday_utc_2026-04-16,incremental,outbound,sent,6321,6323,0,203,6120,0,0,0,0,0,0.0,0,203,0,6118,0,6321,7,0,2026-04-17T10:44:47Z,24561127748,2026-04-17 10:44 UTC
Joao,Broadcast,since_yesterday_utc_2026-04-16,incremental,outbound,sent,148758,148855,117286,23933,4560,3076,0,0,0,0,78.79,117190,23933,0,4559,3076,148758,152,0,2026-04-17T10:44:47Z,24561127748,2026-04-17 10:44 UTC
NS,Recuperação,since_yesterday_utc_2026-04-16,incremental,outbound,sent,5198,9723,9268,150,201,104,0,0,0,0,95.32,4898,150,0,94,56,5198,6,0,2026-04-17T10:44:47Z,24561127748,2026-04-17 10:44 UTC
Naturemove,Standby,since_yesterday_utc_2026-04-16,incremental,outbound,sent,454661,518809,495162,1737,13415,8495,0,0,0,0,95.44,433908,1737,0,11580,7436,454661,488,0,2026-04-17T10:44:47Z,24561127748,2026-04-17 10:44 UTC
Rafa,Broadcast,since_yesterday_utc_2026-04-16,incremental,outbound,sent,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,2026-04-17T10:44:47Z,24561127748,2026-04-17 10:44 UTC
Rehableaf,Standby,since_yesterday_utc_2026-04-16,incremental,outbound,sent,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,2026-04-17T10:44:47Z,24561127748,2026-04-17 10:44 UTC
Richard,Standby,since_yesterday_utc_2026-04-16,incremental,outbound,sent,586889,676017,625841,17719,20363,12094,0,0,0,0,92.58,541702,17719,0,17215,10253,586889,619,0,2026-04-17T10:44:47Z,24561127748,2026-04-17 10:44 UTC
Bernardo,Broadcast,since_yesterday_utc_2026-04-17,incremental,outbound,sent,59636,59647,48352,8337,1941,1017,0,0,0,0,81.06,48343,8337,0,1941,1015,59636,62,0,2026-04-18T10:05:15Z,24602349833,2026-04-18 10:05 UTC
Havenmove,Standby,since_yesterday_utc_2026-04-17,incremental,outbound,sent,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,2026-04-18T10:05:15Z,24602349833,2026-04-18 10:05 UTC
Joao,Broadcast,since_yesterday_utc_2026-04-17,incremental,outbound,sent,138653,138683,111722,19917,4695,2349,0,0,0,0,80.56,111693,19917,0,4695,2348,138653,141,0,2026-04-18T10:05:15Z,24602349833,2026-04-18 10:05 UTC
NS,Recuperação,since_yesterday_utc_2026-04-17,incremental,outbound,sent,1070,2028,1846,120,20,42,0,0,0,0,91.03,919,120,0,10,21,1070,2,0,2026-04-18T10:05:15Z,24602349833,2026-04-18 10:05 UTC
Naturemove,Standby,since_yesterday_utc_2026-04-17,incremental,outbound,sent,282919,283108,258358,12263,6260,6227,0,0,0,0,91.26,258175,12263,0,6258,6223,282919,308,0,2026-04-18T10:05:15Z,24602349833,2026-04-18 10:05 UTC
Rafa,Broadcast,since_yesterday_utc_2026-04-17,incremental,outbound,sent,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,2026-04-18T10:05:15Z,24602349833,2026-04-18 10:05 UTC
Rehableaf,Standby,since_yesterday_utc_2026-04-17,incremental,outbound,sent,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,2026-04-18T10:05:15Z,24602349833,2026-04-18 10:05 UTC
