Data,Conta,Categoria,Grupo_Gasto,Valor_USD
2026-05-15,Richard,Standby,SMS: Envio/Recebimento,0.2064
2026-05-15,Richard,Standby,Voz: Chamadas e Minutos,0.1326
2026-05-15,Naturemove,Standby,SMS: Envio/Recebimento,0.003
2026-05-15,Naturemove,Standby,Voz: Chamadas e Minutos,0.022
2026-05-15,Naturemove,Standby,IA: Transcrição e Speech,0.013
2026-05-15,Joao,Broadcast,SMS: Envio/Recebimento,0.009
2026-05-15,Joao,Broadcast,Voz: Chamadas e Minutos,0.0
2026-05-15,Joao,Broadcast,Voz: Gravações e Storage,0.205
2026-05-15,Joao,Broadcast,IA: Transcrição e Speech,0.0
2026-05-15,Joao,Broadcast,Segurança: Lookups e Verify,0.0001
2026-05-15,Havenmove,Standby,Voz: Chamadas e Minutos,0.44
2026-05-15,Havenmove,Standby,IA: Transcrição e Speech,0.26
2026-05-15,Bernardo,Broadcast,SMS: Envio/Recebimento,0.003
2026-05-14,Richard,Standby,SMS: Envio/Recebimento,0.2243
2026-05-14,Richard,Standby,Voz: Chamadas e Minutos,0.5304
2026-05-14,Richard,Standby,Voz: Gravações e Storage,0.04
2026-05-14,Naturemove,Standby,Voz: Chamadas e Minutos,0.022
2026-05-14,Naturemove,Standby,IA: Transcrição e Speech,0.013
2026-05-14,Joao,Broadcast,SMS: Envio/Recebimento,0.006
2026-05-14,Joao,Broadcast,Voz: Chamadas e Minutos,0.0
2026-05-14,Joao,Broadcast,Voz: Gravações e Storage,0.14
2026-05-14,Joao,Broadcast,IA: Transcrição e Speech,0.0
2026-05-14,Joao,Broadcast,Segurança: Lookups e Verify,0.0004
2026-05-14,Havenmove,Standby,SMS: Envio/Recebimento,0.012
2026-05-14,Havenmove,Standby,Voz: Chamadas e Minutos,0.704
2026-05-14,Havenmove,Standby,IA: Transcrição e Speech,0.416
2026-05-14,Bernardo,Broadcast,SMS: Envio/Recebimento,0.003
2026-05-13,Richard,Standby,SMS: Envio/Recebimento,0.1915
2026-05-13,Richard,Standby,Voz: Chamadas e Minutos,0.0001
2026-05-13,Richard,Standby,Voz: Gravações e Storage,0.425
2026-05-13,Joao,Broadcast,SMS: Envio/Recebimento,0.009
2026-05-13,Joao,Broadcast,Voz: Chamadas e Minutos,0.0001
2026-05-13,Joao,Broadcast,Voz: Gravações e Storage,0.32
2026-05-13,Joao,Broadcast,IA: Transcrição e Speech,0.0
2026-05-13,Joao,Broadcast,Segurança: Lookups e Verify,0.0006
2026-05-13,Joao,Broadcast,Assinaturas: Números Fixos,0.0
2026-05-13,Havenmove,Standby,SMS: Envio/Recebimento,0.009
2026-05-13,Havenmove,Standby,Voz: Chamadas e Minutos,0.968
2026-05-13,Havenmove,Standby,IA: Transcrição e Speech,0.572
2026-05-13,Bernardo,Broadcast,SMS: Envio/Recebimento,0.003
2026-05-12,Richard,Standby,SMS: Envio/Recebimento,0.1017
2026-05-12,Richard,Standby,Voz: Chamadas e Minutos,0.0
2026-05-12,Richard,Standby,Voz: Gravações e Storage,0.15
