Conta,Data_Utc,Categoria,Count,Usage,Price_USD,Range,Extraido_Utc
NS,2026-08-01,totalprice,0,49.8123,49.812330,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
NS,2026-07-31,totalprice,0,5074.8544,5074.854400,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
NS,2026-08-01,sms,3547,6971,20.938200,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
NS,2026-07-31,sms,5299,10418,31.638570,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Joao,2026-08-01,totalprice,0,800.8869,800.886930,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Joao,2026-07-31,totalprice,0,473.7028,473.702830,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Joao,2026-08-01,sms,89614,89774,268.423280,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Joao,2026-07-31,sms,32877,32975,98.594270,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Bernardo,2026-08-01,totalprice,0,429.5664,429.566360,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Bernardo,2026-07-31,totalprice,0,517.502,517.502000,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
